Running,Expected,TwiceAroundTheTreeTSP,Aproximação obtida,Validade da aproximação,Tempo
eil51,426,"""640.9012229251007""","""0.6646890109769454""",True,"""0.003018617630004883"""
berlin52,7542,"""10116.014495510826""","""0.7455505331024294""",True,"""0.0035097599029541016"""
st70,675,"""873.3514856717352""","""0.772884698857329""",True,"""0.005006551742553711"""
eil76,538,"""707.1533198611806""","""0.7607968242383608""",True,"""0.005513191223144531"""
pr76,108159,"""145338.11445183848""","""0.7441888207228756""",True,"""0.006005525588989258"""
rat99,1211,"""1723.2250451508614""","""0.7027520888277142""",True,"""0.009516000747680664"""
kroA100,21282,"""27211.67972921635""","""0.7820906394525203""",True,"""0.00953531265258789"""
kroB100,22141,"""25881.199893685625""","""0.8554858387922678""",True,"""0.00953984260559082"""
kroC100,20749,"""27966.54136375163""","""0.7419222752690282""",True,"""0.009514331817626953"""
kroD100,21294,"""27113.29664042698""","""0.7853711144903648""",True,"""0.010516881942749023"""
kroE100,22068,"""30507.419046823474""","""0.7233650269178634""",True,"""0.010019540786743164"""
rd100,7910,"""10791.655815950702""","""0.7329737099573316""",True,"""0.010024309158325195"""
eil101,629,"""830.5422075548881""","""0.7573365860017791""",True,"""0.009516477584838867"""
lin105,14379,"""19498.408788813624""","""0.7374447913026285""",True,"""0.010517358779907227"""
pr107,44303,"""54238.03661175547""","""0.8168252902871088""",True,"""0.010515689849853516"""
pr124,59030,"""74140.95964828487""","""0.7961860795979805""",True,"""0.016086816787719727"""
bier127,118282,"""158637.60615918832""","""0.7456113519596821""",True,"""0.016048908233642578"""
ch130,6110,"""8128.757281130948""","""0.7516524099179303""",True,"""0.022057294845581055"""
pr136,96772,"""151913.74200165656""","""0.6370193948546454""",True,"""0.04709601402282715"""
pr144,58537,"""80596.32004796875""","""0.726298669283664""",True,"""0.02057623863220215"""
ch150,6528,"""8333.472170089168""","""0.783346949118107""",True,"""0.02306532859802246"""
kroA150,26524,"""35122.56680105931""","""0.755183986131675""",True,"""0.02309274673461914"""
kroB150,26130,"""36154.73394030785""","""0.7227269337160971""",True,"""0.023044586181640625"""
pr152,73682,"""87998.6939814051""","""0.8373078811325274""",True,"""0.022054195404052734"""
u159,42080,"""57787.974410195486""","""0.7281791831169611""",True,"""0.02657318115234375"""
rat195,2323,"""3317.723252056972""","""0.7001789551192227""",True,"""0.03963589668273926"""
d198,15780,"""19218.43305436619""","""0.8210867116669005""",True,"""0.04009127616882324"""
kroA200,29368,"""40030.86635119212""","""0.7336338849715008""",True,"""0.04210090637207031"""
kroB200,29437,"""40710.95987899587""","""0.7230731008921144""",True,"""0.0721743106842041"""
ts225,126643,"""188009.70162933244""","""0.6735982180838785""",True,"""0.05081534385681152"""
tsp225,3919,"""5115.932581284439""","""0.7660382418519031""",True,"""0.09231948852539062"""
pr226,80369,"""116692.15371518278""","""0.6887266833394918""",True,"""0.052619218826293945"""
gil262,2378,"""3358.1541767582894""","""0.7081271063901965""",True,"""0.07338809967041016"""
pr264,49135,"""66466.8417493333""","""0.7392407809190491""",True,"""0.10444808006286621"""
a280,2579,"""3629.7203051092397""","""0.710523066025161""",True,"""0.08019566535949707"""
pr299,48191,"""64646.03471992065""","""0.7454594888733362""",True,"""0.09335589408874512"""
lin318,42029,"""58145.441917056065""","""0.7228253602398272""",True,"""0.13153696060180664"""
linhp318,41345,"""58145.441917056065""","""0.7110617554335258""",True,"""0.1522693634033203"""
rd400,15281,"""20250.376744292647""","""0.7546032448165088""",True,"""0.21047019958496094"""
fl417,11861,"""16297.174640391935""","""0.7277948639393578""",True,"""0.20679569244384766"""
pr439,107217,"""144624.15787804432""","""0.7413491741152384""",True,"""0.23737335205078125"""
pcb442,50778,"""69364.90250618651""","""0.7320416834071267""",True,"""0.24680113792419434"""
d493,35002,"""45427.08884703529""","""0.7705094226456103""",True,"""0.306140661239624"""
u574,36905,"""49083.15193822763""","""0.7518873288016601""",True,"""0.43810081481933594"""
rat575,6773,"""9438.933433360664""","""0.717559886169101""",True,"""0.5075078010559082"""
p654,34643,"""49731.89542216019""","""0.6965952072794579""",True,"""0.5306413173675537"""
d657,48912,"""65730.19370040316""","""0.7441329052359082""",True,"""0.5688731670379639"""
u724,41910,"""57779.66789292217""","""0.7253416561283809""",True,"""0.7233729362487793"""
rat783,8806,"""12054.453156740949""","""0.7305184138589988""",True,"""0.8475441932678223"""
pr1002,259045,"""342244.46239584225""","""0.756900486238947""",True,"""1.434704303741455"""
u1060,224094,"""302914.8663669418""","""0.7397920171027176""",True,"""1.6126911640167236"""
vm1084,239297,"""315268.3487491507""","""0.7590264006819195""",True,"""1.758202314376831"""
pcb1173,56892,"""80694.8928627429""","""0.7050260305416085""",True,"""2.22442889213562"""
d1291,50801,"""74658.29731002661""","""0.680446806723215""",True,"""2.484727144241333"""
rl1304,252948,"""347782.57034149766""","""0.7273164947617218""",True,"""2.5587668418884277"""
rl1323,270199,"""380421.587604229""","""0.7102620061643323""",True,"""2.7853994369506836"""
nrw1379,56638,"""79156.2650653691""","""0.7155213798077388""",True,"""3.0169453620910645"""
fl1400,20127,"""27915.52347719665""","""0.7209966890444""",True,"""2.8587734699249268"""
u1432,152970,"""214430.78054791197""","""0.7133770609290894""",True,"""3.031764030456543"""
fl1577,22249,"""31223.096666973648""","""0.7125814661277325""",True,"""3.717819929122925"""
d1655,62128,"""85681.0784168341""","""0.7251075867387012""",True,"""4.0812060832977295"""
vm1748,336556,"""444658.6319423448""","""0.7568862399676488""",True,"""4.791898012161255"""
u1817,57201,"""83501.55577440909""","""0.6850291526847279""",True,"""5.41467809677124"""
rl1889,316536,"""449811.48817322083""","""0.7037081273435664""",True,"""5.8075079917907715"""
d2103,80450,"""124533.87160392563""","""0.6460089850564319""",True,"""6.878421306610107"""
u2152,64253,"""95076.21583494876""","""0.6758051888764955""",True,"""7.535085678100586"""
u2319,234256,"""320532.84102777723""","""0.7308330692382922""",True,"""8.989606857299805"""
pr2392,378032,"""523132.9069393881""","""0.7226308935748139""",True,"""9.43360447883606"""
pcb3038,137694,"""196573.89922196095""","""0.7004693936732829""",True,"""15.216783285140991"""
fl3795,28772,"""39072.83254850032""","""0.7363684208019957""",True,"""26.775075674057007"""
fnl4461,182566,"""254671.62750690823""","""0.7168682345466525""",True,"""37.163819789886475"""
rl5915,565530,"""840348.3558001819""","""0.6729709127133364""",True,"""66.67347311973572"""
rl5934,556045,"""827482.3360284586""","""0.671972047969948""",True,"""67.62670540809631"""
rl11849,923368,"""1351628.812671623""","""0.6831520542795143""",True,"""746.5941548347473"""
